Epoch 110 | Mean reward: -0.006040 | Sharpe: -2.28 | MDD: 11.63% | Turnover: 0.5705 | Entropy: 0.0216 | Policy loss: 0.000074 | Value loss: 3.123611
Epoch 111 | Mean reward: -0.013767 | Sharpe: -4.52 | MDD: 23.60% | Turnover: 0.5652 | Entropy: 0.0217 | Policy loss: 0.000133 | Value loss: 8.649412
Epoch 112 | Mean reward: -0.011138 | Sharpe: -4.30 | MDD: 19.87% | Turnover: 0.5681 | Entropy: 0.0227 | Policy loss: -0.000089 | Value loss: 31.842377
Epoch 113 | Mean reward: -0.014192 | Sharpe: -7.17 | MDD: 22.69% | Turnover: 0.5628 | Entropy: 0.0211 | Policy loss: 0.000022 | Value loss: 85.348816
Epoch 114 | Mean reward: -0.010433 | Sharpe: -4.00 | MDD: 21.41% | Turnover: 0.5556 | Entropy: 0.0232 | Policy loss: -0.000003 | Value loss: 163.160477
Epoch 115 | Mean reward: -0.011045 | Sharpe: -4.71 | MDD: 18.06% | Turnover: 0.5637 | Entropy: 0.0208 | Policy loss: 0.000035 | Value loss: 200.631775
Epoch 116 | Mean reward: -0.014258 | Sharpe: -4.39 | MDD: 23.01% | Turnover: 0.5663 | Entropy: 0.0223 | Policy loss: 0.000013 | Value loss: 172.629562
Epoch 117 | Mean reward: -0.010845 | Sharpe: -3.69 | MDD: 19.18% | Turnover: 0.5649 | Entropy: 0.0254 | Policy loss: -0.000054 | Value loss: 114.322243
Epoch 118 | Mean reward: -0.006030 | Sharpe: -2.17 | MDD: 12.34% | Turnover: 0.5602 | Entropy: 0.0223 | Policy loss: 0.000069 | Value loss: 59.767403
Epoch 119 | Mean reward: -0.007264 | Sharpe: -2.67 | MDD: 12.23% | Turnover: 0.5726 | Entropy: 0.0265 | Policy loss: -0.000022 | Value loss: 24.046085
Epoch 120 | Mean reward: -0.013009 | Sharpe: -4.83 | MDD: 22.79% | Turnover: 0.5632 | Entropy: 0.0231 | Policy loss: 0.000276 | Value loss: 11.281052
Epoch 121 | Mean reward: -0.015511 | Sharpe: -7.01 | MDD: 25.23% | Turnover: 0.5578 | Entropy: 0.0227 | Policy loss: 0.000106 | Value loss: 10.120267
Epoch 122 | Mean reward: -0.012587 | Sharpe: -3.86 | MDD: 22.64% | Turnover: 0.5612 | Entropy: 0.0221 | Policy loss: -0.000195 | Value loss: 15.976886
Epoch 123 | Mean reward: -0.015860 | Sharpe: -5.51 | MDD: 26.49% | Turnover: 0.5659 | Entropy: 0.0240 | Policy loss: -0.000022 | Value loss: 29.680065
Epoch 124 | Mean reward: -0.013519 | Sharpe: -5.34 | MDD: 24.17% | Turnover: 0.5600 | Entropy: 0.0217 | Policy loss: 0.000046 | Value loss: 56.810242
Epoch 125 | Mean reward: -0.002423 | Sharpe: -0.86 | MDD: 7.20% | Turnover: 0.5612 | Entropy: 0.0274 | Policy loss: 0.000206 | Value loss: 81.427597
Epoch 126 | Mean reward: -0.015645 | Sharpe: -6.44 | MDD: 24.85% | Turnover: 0.5638 | Entropy: 0.0209 | Policy loss: 0.000106 | Value loss: 81.315117
Epoch 127 | Mean reward: -0.013817 | Sharpe: -6.46 | MDD: 23.52% | Turnover: 0.5765 | Entropy: 0.0224 | Policy loss: -0.000027 | Value loss: 59.799187
Epoch 128 | Mean reward: -0.014722 | Sharpe: -6.29 | MDD: 25.01% | Turnover: 0.5689 | Entropy: 0.0193 | Policy loss: 0.000060 | Value loss: 32.720886
Epoch 129 | Mean reward: -0.013496 | Sharpe: -5.08 | MDD: 22.21% | Turnover: 0.5609 | Entropy: 0.0204 | Policy loss: -0.000064 | Value loss: 12.170535
Epoch 130 | Mean reward: -0.006593 | Sharpe: -2.42 | MDD: 11.83% | Turnover: 0.5537 | Entropy: 0.0233 | Policy loss: -0.000096 | Value loss: 1.687831
Epoch 131 | Mean reward: -0.009072 | Sharpe: -3.80 | MDD: 16.99% | Turnover: 0.5632 | Entropy: 0.0243 | Policy loss: 0.000173 | Value loss: 0.654868
Epoch 132 | Mean reward: -0.013263 | Sharpe: -5.98 | MDD: 25.01% | Turnover: 0.5632 | Entropy: 0.0203 | Policy loss: -0.000124 | Value loss: 9.177595
Epoch 133 | Mean reward: -0.012386 | Sharpe: -4.13 | MDD: 24.36% | Turnover: 0.5628 | Entropy: 0.0233 | Policy loss: -0.000108 | Value loss: 33.877140
Epoch 134 | Mean reward: -0.009819 | Sharpe: -4.63 | MDD: 15.86% | Turnover: 0.5615 | Entropy: 0.0219 | Policy loss: -0.000135 | Value loss: 92.223640
